📺-X-📺,#genre#
亚洲旅游 TLC Asia,https://live.catvod.com/catvod_com.php?id=tlc_twn&token=17131cd42e0895fbd5f9ba2157a1d32014864e7ff89a7e292e6b2d88843088f3%3A1759569300%3AMjA4Ljg3LjI0Mi4xMDU%3D
EYETV 旅游,https://live.catvod.com/catvod_com.php?id=eyetvtravel_twn&token=28e483b23a69c7090eb270d8a215b541f75d4a9316cee37334e5d65fc7218585%3A1759569300%3AMjA4Ljg3LjI0Mi4xMDU%3D
BBC World News,https://live.catvod.com/catvod_com.php?id=bbcnews_twn&token=4e8c22ad00a4a88d75c16693455b2ca2df1a3f6ae61b557d6fd355e8ba77e9ab%3A1759569300%3AMjA4Ljg3LjI0Mi4xMDU%3D
BBC World News,https://live.catvod.com/catvod_com.php?id=Bbcnews&token=b456a6ca1f6e34e374d8885b4ee6dfd2a2a37c00caac466ec6b027d2f1c7740e%3A1759569300%3AMjA4Ljg3LjI0Mi4xMDU%3D
CGTN,https://english-livebkali.cgtn.com/live/encgtn_0.m3u8
CGTN,https://english-livebkali.cgtn.com/live/encgtn_0.m3u8
CGTN纪录,https://english-livebkali.cgtn.com/live/doccgtn_0.m3u8
CGTN纪录,https://english-livebkali.cgtn.com/live/doccgtn_0.m3u8

📺央视超清频道,#genre#
CCTV-1 综合,https://live.catvod.com/catvod_com.php?id=cctv1&token=f382aa752fe6822d7773d98aa9c1e1f6ff5a82716a4b630c7cb1b626cdebd05a%3A1759569300%3AMjA4Ljg3LjI0Mi4xMDU%3D
CCTV-2 财经,https://live.catvod.com/catvod_com.php?id=cctv2&token=456bc707863cc810c67d9d30486beac0ec54f40f38a326baa5d364527c32d6e8%3A1759569300%3AMjA4Ljg3LjI0Mi4xMDU%3D
CCTV-3 综艺,https://live.catvod.com/catvod_com.php?id=cctv3&token=e56b22a446c4af298f7df892e8a6143a6cde5d4bb8b19581fb11cfd15e756bb8%3A1759569300%3AMjA4Ljg3LjI0Mi4xMDU%3D
CCTV-4 中文国际,https://live.catvod.com/catvod_com.php?id=cctv4&token=ffebb837a25ce4da616e17df684549795399181b0713d2515bc345980df13cb5%3A1759569300%3AMjA4Ljg3LjI0Mi4xMDU%3D
CCTV4 新闻台,https://live.catvod.com/catvod_com.php?id=Cctv4&token=0799f720ab8998927e50e3305682f4ddb6f75e4507cc1dd000bf949479599fb1%3A1759569300%3AMjA4Ljg3LjI0Mi4xMDU%3D
CCTV-5 体育频道,https://live.catvod.com/catvod_com.php?id=cctv5&token=a6ab16055c37247ae013928cd0de5c61350a8af627b1264eed0a1df7d2adb7f3%3A1759569300%3AMjA4Ljg3LjI0Mi4xMDU%3D
CCTV-5+ 体育赛事,https://live.catvod.com/catvod_com.php?id=cctv5plus&token=403b04fc6076f09c2e1ce7f92824946084f84ea390eae0ae3d1fc9332c325166%3A1759569300%3AMjA4Ljg3LjI0Mi4xMDU%3D
CCTV-6 电影频道,https://live.catvod.com/catvod_com.php?id=cctv6&token=ef38d7ff92633ec7569a6eae468417959dc69a57df31cb62854a196c98925994%3A1759569300%3AMjA4Ljg3LjI0Mi4xMDU%3D
CCTV-7 军事农业,https://live.catvod.com/catvod_com.php?id=cctv7&token=2874689afdc4b3f305b1124cb12c88df24d00d6590b940ec993f9a270cde2c42%3A1759569300%3AMjA4Ljg3LjI0Mi4xMDU%3D
CCTV-8 电视剧,https://live.catvod.com/catvod_com.php?id=cctv8hd&token=ecaa9dfc7e1875c34ddcb87c6e7cf0c70bbed6c5a399deaeb7ded2e5ee602f76%3A1759569300%3AMjA4Ljg3LjI0Mi4xMDU%3D
